title,released year,duration,rating,story line,watch on,watch link
Vinnaithaandi Varuvaayaa,2010,2h 37m,8.1,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.,N/A,N/A
Super 30,2019,2h 34m,7.9,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Hotstar,https://www.hotstar.com/
The Tashkent Files,2019,2h 14m,8.1,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",N/A,N/A
Malik,2021,2h 42m,8.0,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.b2bcbf9c-a3c8-4bd5-b71b-9d5ad0867b6e
Hindi Medium,2017,2h 12m,7.8,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.eaae351a-6339-707a-f200-8dbd1d332dea
Pizza,2012,2h 7m,7.9,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,Hotstar,https://www.hotstar.com/
Android Kunjappan Ver 5.25,2019,2h 20m,8.0,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid enters their lives and fills in their emptiness.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.12b78d12-d5b1-17dd-1c40-641f4fd88ed4
Hridayam,2022,2h 52m,8.1,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Hotstar,https://www.hotstar.com/
English Vinglish,2012,2h 14m,7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",MX Player,https://www.mxplayer.in/
Lakshya,2004,3h 6m,7.8,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Netflix,https://www.netflix.com/watch/70001237?source=imdb
